03:47:22.769066 config: drop-rate=0.00, max-delay=100ms, seed=2387230234324
03:47:32.016252 [queue=8] packet #12, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=11 is delayed for 21ms
03:47:32.016286 [queue=9] packet #13, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=11 is delayed for 24ms
03:47:32.016303 [queue=10] packet #14, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=11 is delayed for 31ms
03:47:32.016321 [queue=11] packet #15, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=11 is delayed for 65ms
03:47:32.022383 [queue=10] packet #9, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=11 is delivered
03:47:32.022511 [queue=11] packet #9, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delayed for 20ms
03:47:32.027725 [queue=10] packet #6, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delivered
03:47:32.037506 [queue=9] packet #12, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=11 is delivered
03:47:32.037624 [queue=10] packet #12, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delayed for 98ms
03:47:32.040603 [queue=9] packet #13, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=11 is delivered
03:47:32.040703 [queue=10] packet #13, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delayed for 38ms
03:47:32.043140 [queue=9] packet #9, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delivered
03:47:32.047556 [queue=8] packet #14, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=11 is delivered
03:47:32.047697 [queue=9] packet #14, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delayed for 98ms
03:47:32.048895 [queue=8] packet #6, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delivered
03:47:32.051931 [queue=7] packet #11, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=11 is delivered
03:47:32.052069 [queue=8] packet #11, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delayed for 12ms
03:47:32.061695 [queue=7] packet #10, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=11 is delivered
03:47:32.061867 [queue=8] packet #10, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delayed for 98ms
03:47:32.064291 [queue=7] packet #11, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delivered
03:47:32.081827 [queue=4] packet #15, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=11 is delivered
03:47:32.081878 [queue=4] packet #7, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=11 is delivered
03:47:32.081927 [queue=4] packet #13, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delivered
03:47:32.082012 [queue=5] packet #15, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delayed for 30ms
03:47:32.082096 [queue=6] packet #7, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delayed for 50ms
03:47:32.116717 [queue=4] packet #8, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=11 is delivered
03:47:32.116858 [queue=4] packet #15, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delivered
03:47:32.117158 [queue=5] packet #8, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delayed for 51ms
03:47:32.133618 [queue=4] packet #7, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delivered
03:47:32.135814 [queue=3] packet #12, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delivered
03:47:32.146201 [queue=2] packet #14, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delivered
03:47:32.163111 [queue=1] packet #10, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delivered
03:47:32.168433 [queue=0] packet #8, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delivered
03:47:32.168875 [queue=1] packet #16, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=11 is delayed for 76ms
03:47:32.168954 [queue=2] packet #17, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=11 is delayed for 8ms
03:47:32.168999 [queue=3] packet #18, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=1 is delayed for 32ms
03:47:32.169025 [queue=4] packet #19, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delayed for 77ms
03:47:32.179224 [queue=3] packet #17, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=11 is delivered
03:47:32.179619 [queue=4] packet #17, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delayed for 91ms
03:47:32.201447 [queue=3] packet #18, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=1 is delivered
03:47:32.201702 [queue=4] packet #18, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delayed for 46ms
03:47:32.250178 [queue=1] packet #18, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delivered
03:47:32.250296 [queue=1] packet #16, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=11 is delivered
03:47:32.250385 [queue=1] packet #19, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delivered
03:47:32.250722 [queue=2] packet #16, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delayed for 61ms
03:47:32.250816 [queue=3] packet #19, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delayed for 91ms
03:47:32.250877 [queue=4] packet #19, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delayed for 7ms
03:47:32.259899 [queue=3] packet #19, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delivered
03:47:32.260349 [queue=4] packet #0, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delayed for 74ms
03:47:32.260574 [queue=5] packet #0, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delayed for 33ms
03:47:32.260649 [queue=6] packet #0, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delayed for 64ms
03:47:32.260704 [queue=7] packet #0, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delayed for 84ms
03:47:32.260741 [queue=8] packet #0, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delayed for 93ms
03:47:32.271607 [queue=7] packet #17, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delivered
03:47:32.294901 [queue=6] packet #0, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delivered
03:47:32.295186 [queue=7] packet #19, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delayed for 23ms
03:47:32.312450 [queue=6] packet #16, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delivered
03:47:32.319080 [queue=5] packet #19, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delivered
03:47:32.326263 [queue=4] packet #0, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delivered
03:47:32.326657 [queue=5] packet #19, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delayed for 94ms
03:47:32.339781 [queue=5] packet #19, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delayed for 17ms
03:47:32.334975 [queue=4] packet #0, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delivered
03:47:32.342442 [queue=4] packet #19, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delivered
03:47:32.344871 [queue=3] packet #0, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delivered
03:47:32.345050 [queue=4] packet #19, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delayed for 77ms
03:47:32.353913 [queue=3] packet #0, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delivered
03:47:32.354934 [queue=4] packet #0, 127.0.0.1:54172 -> 127.0.0.1:8080, sz=0 is delayed for 88ms
03:47:32.357767 [queue=3] packet #19, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delivered
03:47:32.424485 [queue=2] packet #19, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delivered
03:47:32.434109 [queue=1] packet #19, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delivered
03:47:32.445232 [queue=0] packet #0, 127.0.0.1:54172 -> 127.0.0.1:8080, sz=0 is delivered
03:47:32.445955 [queue=1] packet #0, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delayed for 90ms
03:47:32.540385 [queue=0] packet #0, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delivered
03:47:32.540753 [queue=1] packet #0, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=0 is delayed for 21ms
03:47:32.541225 [queue=2] packet #1, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=11 is delayed for 34ms
03:47:32.541371 [queue=3] packet #2, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=11 is delayed for 57ms
03:47:32.541432 [queue=4] packet #3, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=11 is delayed for 79ms
03:47:32.541483 [queue=5] packet #4, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=11 is delayed for 14ms
03:47:32.541510 [queue=6] packet #5, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=11 is delayed for 77ms
03:47:32.541539 [queue=7] packet #6, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=11 is delayed for 35ms
03:47:32.541564 [queue=8] packet #7, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=11 is delayed for 92ms
03:47:32.541608 [queue=9] packet #8, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=11 is delayed for 42ms
03:47:32.541632 [queue=10] packet #9, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=11 is delayed for 98ms
03:47:32.541658 [queue=11] packet #10, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=11 is delayed for 45ms
03:47:32.557579 [queue=10] packet #4, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=11 is delivered
03:47:32.557918 [queue=11] packet #4, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delayed for 37ms
03:47:32.563164 [queue=10] packet #0, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=0 is delivered
03:47:32.575741 [queue=9] packet #1, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=11 is delivered
03:47:32.576209 [queue=10] packet #1, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delayed for 73ms
03:47:32.576970 [queue=9] packet #6, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=11 is delivered
03:47:32.577138 [queue=10] packet #6, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delayed for 59ms
03:47:32.585573 [queue=9] packet #8, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=11 is delivered
03:47:32.585903 [queue=10] packet #8, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delayed for 58ms
03:47:32.587085 [queue=9] packet #10, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=11 is delivered
03:47:32.587453 [queue=10] packet #10, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delayed for 23ms
03:47:32.595401 [queue=9] packet #4, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delivered
03:47:32.599446 [queue=8] packet #2, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=11 is delivered
03:47:32.599844 [queue=9] packet #2, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delayed for 64ms
03:47:32.613585 [queue=8] packet #10, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delivered
03:47:32.618885 [queue=7] packet #5, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=11 is delivered
03:47:32.619096 [queue=8] packet #5, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delayed for 61ms
03:47:32.621049 [queue=7] packet #3, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=11 is delivered
03:47:32.621276 [queue=8] packet #3, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delayed for 40ms
03:47:32.636964 [queue=6] packet #7, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=11 is delivered
03:47:32.637059 [queue=6] packet #6, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delivered
03:47:32.637381 [queue=7] packet #7, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delayed for 27ms
03:47:32.640630 [queue=6] packet #9, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=11 is delivered
03:47:32.641047 [queue=7] packet #9, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delayed for 61ms
03:47:32.645119 [queue=6] packet #8, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delivered
03:47:32.650598 [queue=5] packet #1, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delivered
03:47:32.663534 [queue=4] packet #3, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delivered
03:47:32.664175 [queue=3] packet #2, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delivered
03:47:32.664570 [queue=2] packet #7, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delivered
03:47:32.683370 [queue=1] packet #5, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delivered
03:47:32.704377 [queue=0] packet #9, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delivered
03:47:32.704622 [queue=1] packet #11, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=11 is delayed for 60ms
03:47:32.704695 [queue=2] packet #12, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=11 is delayed for 23ms
03:47:32.704719 [queue=3] packet #13, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=11 is delayed for 10ms
03:47:32.704780 [queue=4] packet #14, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=6 is delayed for 42ms
03:47:32.704805 [queue=5] packet #15, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=0 is delayed for 17ms
03:47:32.715683 [queue=4] packet #13, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=11 is delivered
03:47:32.715969 [queue=5] packet #13, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delayed for 22ms
03:47:32.723648 [queue=4] packet #15, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=0 is delivered
03:47:32.724050 [queue=5] packet #15, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delayed for 51ms
03:47:32.729060 [queue=4] packet #12, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=11 is delivered
03:47:32.729428 [queue=5] packet #12, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delayed for 65ms
03:47:32.739221 [queue=4] packet #13, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delivered
03:47:32.747159 [queue=3] packet #14, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=6 is delivered
03:47:32.747421 [queue=4] packet #14, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delayed for 57ms
03:47:32.764936 [queue=3] packet #11, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=11 is delivered
03:47:32.765281 [queue=4] packet #11, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delayed for 1ms
03:47:32.765352 [queue=5] packet #15, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delayed for 31ms
03:47:32.766649 [queue=4] packet #11, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delivered
03:47:32.777020 [queue=3] packet #15, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delivered
03:47:32.798136 [queue=1] packet #12, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delivered
03:47:32.798217 [queue=1] packet #15, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delivered
03:47:32.798502 [queue=2] packet #0, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=0 is delayed for 13ms
03:47:32.798696 [queue=3] packet #0, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=0 is delayed for 42ms
03:47:32.798746 [queue=4] packet #0, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=0 is delayed for 32ms
03:47:32.798786 [queue=5] packet #0, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=0 is delayed for 28ms
03:47:32.798811 [queue=6] packet #0, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=0 is delayed for 54ms
03:47:32.805082 [queue=5] packet #14, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delivered
03:47:32.812461 [queue=4] packet #0, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=0 is delivered
03:47:32.812994 [queue=5] packet #15, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delayed for 6ms
03:47:32.819775 [queue=4] packet #15, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delivered
03:47:32.828466 [queue=3] packet #0, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=0 is delivered
03:47:32.828858 [queue=4] packet #15, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delayed for 20ms
03:47:32.831125 [queue=3] packet #0, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=0 is delivered
03:47:32.831332 [queue=4] packet #15, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delayed for 12ms
03:47:32.843427 [queue=3] packet #0, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=0 is delivered
03:47:32.843563 [queue=2] packet #15, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delivered
03:47:32.843788 [queue=3] packet #15, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delayed for 12ms
03:47:32.850036 [queue=2] packet #15, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delivered
03:47:32.853717 [queue=1] packet #0, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=0 is delivered
